id,id_name,Platform,Category,Cookie_or_Data_Key_name,Domain,Description,Retention_period,Data_Controller,User_Privacy_and_GDPR_Rights_Portals,Wildcard_match
1,256c0fe2-d881-11e9-8a34-2a2ae2dbcce4,Google Tag Manager,Functional,cookiePreferences,Advertiser's website domain (1st party),Registers cookie preferences of a user,2 years,Google,https://privacy.google.com/take-control.html,0
2,256c12b2-d881-11e9-8a34-2a2ae2dbcce4,Cookiebot,Functional,CookieConsent,cookiebot.com (3rd party) or advertiser's website domain (1st party),Registers cookie preferences of a user,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,1
3,256c1410-d881-11e9-8a34-2a2ae2dbcce4,Cookiebot,Functional,CookieConsentBulkTicket,cookiebot.com (3rd party),Enables sharing cookie preferences across domains / websites,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,0
4,256c1550-d881-11e9-8a34-2a2ae2dbcce4,Cookiebot,Functional,userlang,cookiebot.com (3rd party),Saves language preferences of user for a website,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,1
5,24daac45-6c94-4c77-a972-66a9e5248413,Maxlead,Functional,cookieconsent_variant,Advertiser's website domain (1st party),Stores the variant of shown cookie banner,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
6,87a6c581-24b5-4d1b-bf99-c0e493364625,Maxlead,Functional,cookieconsent_system,Advertiser's website domain (1st party),Cookie consent system cookie for saving user's cookie opt-in/out choices.,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
7,b735da18-68f1-4dd4-95d4-ee1e29f1d37f,Maxlead,Functional,cookieconsent_level,Advertiser's website domain (1st party),Cookie consent system cookie for storing the level of cookie consent.,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
8,551c9acd-8d52-4808-bf2c-88acc840c091,Maxlead,Functional,cookieconsent_seen,Advertiser's website domain (1st party),Used to support the GDPR / AVG compliant cookie consent system,1 year,Maxlead,https://maxlead.com/privacy-statement/,0
9,6ca095be-4711-47f0-9e83-eecc86ff12c9,Cookiebot,Functional,CookieConsent,Advertiser's website domain (1st party),Stores the user's cookie consent state for the current domain,1 year,Cookiebot,https://www.cookiebot.com/en/cookie-declaration/,0
10,256c18e8-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_ga,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users,2 years,Google,https://privacy.google.com/take-control.html,0
11,d7496a0e-7f4b-4e20-b288-9d5e4852fa79,Google Analytics,Analytics,_ga_,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users,2 years,Google,https://privacy.google.com/take-control.html,1
12,256c1ae6-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_gid,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users for 24 hours after last activity,24 hours,Google,https://privacy.google.com/take-control.html,0
13,256c1c3a-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_gat,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to monitor number of Google Analytics server requests when using Google Tag Manager,1 minute,Google,https://privacy.google.com/take-control.html,1
14,256c1d7a-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,_dc_gtm_,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to monitor number of Google Analytics server requests,1 minute,Google,https://privacy.google.com/take-control.html,1
15,256c1eba-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,AMP_TOKEN,google-analytics.com (3rd party) or advertiser's website domain (1st party),"Contains a token code that is used to read out a Client ID from the AMP Client ID Service. By matching this ID with that of Google Analytics, users can be matched when switching between AMP content and non-AMP content.

Reference: https://support.google.com/analytics/answer/7486764?hl=en",30 seconds till 1 year,Google,https://privacy.google.com/take-control.html,0
16,2caa7a78-e93f-49ca-8fe6-1aaafae1efaa,Goolge Analytics,Analytics,_gat_gtag_,google-analytics.com (3rd party) or advertiser's website domain,Used to set and get tracking data,1 hour,Google,https://privacy.google.com/take-control.html,1
17,256c2090-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Marketing,_gac_,google-analytics.com (3rd party) or advertiser's website domain (1st party),Contains information related to marketing campaigns of the user. These are shared with Google AdWords / Google Ads when the Google Ads and Google Analytics accounts are linked together.,90 days,Google,https://privacy.google.com/take-control.html,1
18,256c26f8-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utma,google-analytics.com (3rd party) or advertiser's website domain (1st party),ID used to identify users and sessions,2 years after last activity,Google,https://privacy.google.com/take-control.html,0
19,256c287e-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmt,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to monitor number of Google Analytics server requests,10 minutes,Google,https://privacy.google.com/take-control.html,0
20,256c29c8-d881-11e9-8a34-2a2ae2dbcce4,Google Analytics,Analytics,__utmb,google-analytics.com (3rd party) or advertiser's website domain (1st party),Used to distinguish new sessions and visits. This cookie is set when the GA.js javascript library is loaded and there is no existing __utmb cookie. The cookie is updated every time data is sent to the Google Analytics server.,30 minutes after last activity,Google,https://privacy.google.com/take-control.html,0
